% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
4975 +2.179450790e+01 +2.179450790e+01 +4.726450790e+01 +4.726450790e+01 -3.6526e+00 -1.8206e+00 -6.7556e-01 -3.4771e+00 -2.2371e+00 -3.8430e-03 -1.0159e+00 -1.1233e-01 +3.6320e+00 -5.9563e-02
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.702052355e+02 +3.702052355e+02 +2.693952355e+02 +2.693952355e+02 +2.8012e+00 +1.6007e+00 +1.3362e+00 -6.0983e-01 -4.7354e-01 -3.3247e+00 -6.5081e-01 +7.9508e-01 -2.1503e+00 -3.4966e+00
14 +2.242640525e+02 +2.242640525e+02 +1.234540525e+02 +1.234540525e+02 +1.1022e-01 -1.4601e+00 -1.1013e+00 +1.0539e+00 +2.2251e+00 +4.3270e+00 +2.3360e+00 +2.9717e+00 -1.7317e+00 -1.6836e+00
77 +1.566805217e+02 +1.566805217e+02 +5.587052170e+01 +5.587052170e+01 -2.1029e-01 -5.4352e-01 +3.4709e+00 -2.9588e+00 +3.8754e+00 +1.9405e+00 +3.3031e-01 +2.6317e+00 -2.6246e+00 -3.7542e+00
1319 +8.209130554e+01 +8.209130554e+01 -1.871869446e+01 -1.871869446e+01 +1.1401e+00 +1.4941e-01 +3.4388e+00 +7.3248e-01 +2.8909e+00 +1.3514e+00 -1.0617e-02 +2.6757e+00 -4.4113e+00 -1.1614e+00
3179 +6.307033051e+01 +6.307033051e+01 -3.773966949e+01 -3.773966949e+01 +9.8559e-01 +1.4160e+00 +3.4261e+00 +1.2828e+00 +3.5977e+00 +1.0384e+00 +2.8115e-01 +3.1327e+00 -4.5973e+00 -1.6703e+00
4861 +3.755991797e+01 +3.755991797e+01 -6.325008203e+01 -6.325008203e+01 +9.4597e-01 +4.6748e-01 +3.1172e+00 +1.2322e+00 +3.2635e+00 +1.7941e+00 +1.7475e-01 +2.4722e+00 -4.4984e+00 -1.0978e+00
% function evaluation | noise-free fitness - Fopt (8.333000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.908854081e+02 +3.908854081e+02 +4.742154081e+02 +4.742154081e+02 -3.4769e+00 +2.3447e-01 +1.9476e+00 +2.5331e+00 +2.0779e-01 +4.2894e+00 +1.6355e+00 +2.6068e+00 +3.4774e+00 -2.0842e+00
