% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3607 +5.170732527e+01 +5.170732527e+01 -1.184926747e+02 -1.184926747e+02 -4.0804e+00 -8.6095e-01 -2.0411e+00 +3.3743e+00 +3.2613e+00
4504 +2.724990245e+01 +2.724990245e+01 -1.429500976e+02 -1.429500976e+02 -3.9461e+00 -7.0693e-01 -1.9269e+00 +3.2582e+00 +3.5092e+00
% function evaluation | noise-free fitness - Fopt (-4.697500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.683636327e+07 +8.683636327e+07 +8.683589352e+07 +8.683589352e+07 -4.8443e+00 -2.6142e+00 -2.1505e+00 -3.8137e+00 -4.9123e+00
2 +4.779182050e+06 +4.779182050e+06 +4.778712300e+06 +4.778712300e+06 -3.7434e+00 -4.8286e+00 +4.4409e+00 -3.8306e+00 +1.1739e+00
14 +1.199906656e+06 +1.199906656e+06 +1.199436906e+06 +1.199436906e+06 +2.4790e+00 -3.7804e+00 -1.3134e+00 +2.7324e+00 +3.8013e+00
19 +2.463047512e+05 +2.463047512e+05 +2.458350012e+05 +2.458350012e+05 +4.6971e+00 +1.9145e+00 +1.1411e+00 -4.6466e+00 +4.7710e+00
152 +6.634963782e+03 +6.634963782e+03 +6.165213782e+03 +6.165213782e+03 +2.2859e-01 -4.8660e+00 +3.3784e+00 -8.0306e-01 +2.2157e-01
502 +4.515760851e+03 +4.515760851e+03 +4.046010851e+03 +4.046010851e+03 -1.2398e-01 -1.5708e+00 +4.6337e+00 +2.0947e+00 -8.7663e-01
1325 +3.772233253e+03 +3.772233253e+03 +3.302483253e+03 +3.302483253e+03 +3.5450e-01 +6.3062e-01 +4.6880e+00 +2.4416e+00 +1.7002e-01
1627 +1.478091719e+03 +1.478091719e+03 +1.008341719e+03 +1.008341719e+03 -8.6555e-01 -2.4451e+00 +4.5329e+00 +1.0471e+00 +9.5893e-01
2043 +4.964328325e+02 +4.964328325e+02 +2.668283254e+01 +2.668283254e+01 -1.0787e+00 -2.7522e+00 +4.4879e+00 +1.0874e+00 +1.3802e+00
2191 +3.157671574e+02 +3.157671574e+02 -1.539828426e+02 -1.539828426e+02 -1.1189e+00 -2.9206e+00 +4.5317e+00 +1.1172e+00 +1.0347e+00
3616 +2.271476827e+02 +2.271476827e+02 -2.426023173e+02 -2.426023173e+02 -1.0887e+00 -2.8314e+00 +4.5206e+00 +1.0750e+00 +1.1810e+00
3767 +1.090299364e+02 +1.090299364e+02 -3.607200636e+02 -3.607200636e+02 -1.2295e+00 -2.9260e+00 +4.5023e+00 +8.6881e-01 +1.6221e+00
4159 +7.309031337e+01 +7.309031337e+01 -3.966596866e+02 -3.966596866e+02 -1.1912e+00 -2.9309e+00 +4.4785e+00 +8.5240e-01 +1.6119e+00
4668 +5.533190941e+01 +5.533190941e+01 -4.144180906e+02 -4.144180906e+02 -1.1734e+00 -2.7886e+00 +4.4723e+00 +8.3871e-01 +1.7774e+00
% function evaluation | noise-free fitness - Fopt (-1.280000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.657713720e+05 +8.657713720e+05 +8.657585720e+05 +8.657585720e+05 -1.4995e+00 +1.5406e+00 +4.7823e+00 -4.9504e-01 -2.2718e+00
22 +1.100000678e+04 +1.100000678e+04 +1.098720678e+04 +1.098720678e+04 +4.6919e+00 -1.7052e+00 +2.5924e+00 -2.2016e+00 +3.5208e+00
204 +6.157452032e+03 +6.157452032e+03 +6.144652032e+03 +6.144652032e+03 +2.4168e+00 -3.7513e+00 +3.3449e+00 -4.8247e+00 +5.0000e+00
699 +9.672043281e+02 +9.672043281e+02 +9.544043281e+02 +9.544043281e+02 +1.4299e+00 -3.3036e+00 +3.5756e+00 -5.0000e+00 +5.0000e+00
2514 +4.644947447e+02 +4.644947447e+02 +4.516947447e+02 +4.516947447e+02 +2.0538e+00 -1.5586e+00 +3.2228e+00 -3.8919e+00 +4.9992e+00
2630 +3.747651979e+02 +3.747651979e+02 +3.619651979e+02 +3.619651979e+02 +2.0999e+00 -1.6989e+00 +3.1954e+00 -3.9233e+00 +4.9990e+00
