% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
48 +2.399182710e+03 +2.399182710e+03 +2.386382710e+03 +2.386382710e+03 -2.6106e+00 -2.6228e+00
463 +8.859552816e+02 +8.859552816e+02 +8.731552816e+02 +8.731552816e+02 -2.4923e+00 -2.6803e+00
495 +1.103482115e+01 +1.103482115e+01 -1.765178848e+00 -1.765178848e+00 -6.5086e-01 -2.3618e+00
2616 +5.738717951e+00 +5.738717951e+00 -7.061282049e+00 -7.061282049e+00 -1.4106e+00 -2.4780e+00
2641 +3.363282898e+00 +3.363282898e+00 -9.436717102e+00 -9.436717102e+00 -1.0856e+00 -2.4274e+00
3085 +5.267793062e-01 +5.267793062e-01 -1.227322069e+01 -1.227322069e+01 +1.1150e+00 -2.0774e+00
3437 +1.166331756e-01 +1.166331756e-01 -1.268336682e+01 -1.268336682e+01 +9.0296e-01 -2.1117e+00
3574 +9.873324484e-02 +9.873324484e-02 -1.270126676e+01 -1.270126676e+01 +4.4273e-01 -2.1850e+00
4636 +5.349217864e-02 +5.349217864e-02 -1.274650782e+01 -1.274650782e+01 +8.2220e-01 -2.1245e+00
% function evaluation | noise-free fitness - Fopt (-3.856900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.092988633e+06 +5.092988633e+06 +5.092602943e+06 +5.092602943e+06 -4.3126e+00 -1.8278e+00
2 +4.807624561e+05 +4.807624561e+05 +4.803767661e+05 +4.803767661e+05 +2.5010e+00 -4.3385e-01
4 +4.099023135e+04 +4.099023135e+04 +4.060454135e+04 +4.060454135e+04 -2.4626e+00 -3.5780e+00
6 +5.593688808e+03 +5.593688808e+03 +5.207998808e+03 +5.207998808e+03 -2.8501e+00 -3.5156e+00
29 +9.602793519e+02 +9.602793519e+02 +5.745893519e+02 +5.745893519e+02 +4.2102e+00 +1.6373e+00
159 +1.035321026e+01 +1.035321026e+01 -3.753367897e+02 -3.753367897e+02 -4.3171e-01 -1.8056e+00
3639 +9.911197772e+00 +9.911197772e+00 -3.757788022e+02 -3.757788022e+02 -4.8974e-01 -1.8491e+00
% function evaluation | noise-free fitness - Fopt (4.000000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.128738203e+07 +6.128738203e+07 +6.128742203e+07 +6.128742203e+07 +3.4076e+00 +3.9818e+00
2 +1.566070245e+07 +1.566070245e+07 +1.566074245e+07 +1.566074245e+07 +2.3769e+00 +5.2273e-01
6 +3.680352027e+06 +3.680352027e+06 +3.680392027e+06 +3.680392027e+06 -6.6864e-01 -9.3683e-01
8 +6.167763048e+04 +6.167763048e+04 +6.171763048e+04 +6.171763048e+04 +3.2756e+00 -3.9464e+00
72 +2.547464974e+04 +2.547464974e+04 +2.551464974e+04 +2.551464974e+04 -2.9721e+00 -2.6381e+00
98 +1.038911683e+04 +1.038911683e+04 +1.042911683e+04 +1.042911683e+04 +4.9692e-01 -3.2621e+00
132 +4.502385992e+03 +4.502385992e+03 +4.542385992e+03 +4.542385992e+03 +1.3388e+00 -3.3936e+00
170 +7.589807602e+01 +7.589807602e+01 +1.158980760e+02 +1.158980760e+02 +1.9654e+00 -3.4308e+00
652 +8.995578041e+00 +8.995578041e+00 +4.899557804e+01 +4.899557804e+01 +3.3571e+00 -3.7064e+00
673 +3.108013903e-01 +3.108013903e-01 +4.031080139e+01 +4.031080139e+01 +1.3004e+00 -3.3104e+00
2829 +1.809898070e-01 +1.809898070e-01 +4.018098981e+01 +4.018098981e+01 +1.2526e+00 -3.3021e+00
3361 +1.559121612e-01 +1.559121612e-01 +4.015591216e+01 +4.015591216e+01 +1.3722e+00 -3.3252e+00
3563 +3.880813030e-02 +3.880813030e-02 +4.003880813e+01 +4.003880813e+01 +1.3255e+00 -3.3160e+00
4117 +1.478343130e-03 +1.478343130e-03 +4.000147834e+01 +4.000147834e+01 +1.3120e+00 -3.3132e+00
% function evaluation | noise-free fitness - Fopt (1.142600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.518571064e+07 +5.518571064e+07 +5.518582490e+07 +5.518582490e+07 -4.1609e+00 +3.9451e+00
2 +5.784316419e+04 +5.784316419e+04 +5.795742419e+04 +5.795742419e+04 -1.3222e-02 -1.6710e+00
26 +3.715104590e+03 +3.715104590e+03 +3.829364590e+03 +3.829364590e+03 +1.1247e+00 -7.1512e-01
256 +1.691543506e+02 +1.691543506e+02 +2.834143506e+02 +2.834143506e+02 +1.6857e+00 -1.9094e-01
490 +1.903011311e+01 +1.903011311e+01 +1.332901131e+02 +1.332901131e+02 +1.8815e+00 +0.0000e+00
2398 +1.111419193e+01 +1.111419193e+01 +1.253741919e+02 +1.253741919e+02 +1.1064e+00 -8.2908e-01
3927 +9.299960099e+00 +9.299960099e+00 +1.235599601e+02 +1.235599601e+02 +7.5758e-01 -1.1977e+00
% function evaluation | noise-free fitness - Fopt (1.393000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.382237271e+06 +2.382237271e+06 +2.382251201e+06 +2.382251201e+06 -2.1116e-01 +1.7137e+00
4 +4.236188958e+05 +4.236188958e+05 +4.236328258e+05 +4.236328258e+05 +4.5226e+00 +1.9777e+00
5 +3.248340631e+03 +3.248340631e+03 +3.262270631e+03 +3.262270631e+03 -3.9803e+00 -1.2015e+00
38 +3.850791422e+02 +3.850791422e+02 +3.990091422e+02 +3.990091422e+02 -4.1636e+00 -1.1752e+00
50 +1.719542181e+01 +1.719542181e+01 +3.112542181e+01 +3.112542181e+01 +2.1375e-01 +9.1773e-02
71 +9.807759119e+00 +9.807759119e+00 +2.373775912e+01 +2.373775912e+01 +1.3395e+00 +4.2180e-01
2234 +3.184866201e+00 +3.184866201e+00 +1.711486620e+01 +1.711486620e+01 +2.9410e+00 +8.8801e-01
3038 +2.078641057e+00 +2.078641057e+00 +1.600864106e+01 +1.600864106e+01 +2.2309e+00 +6.8119e-01
4778 +1.546934376e+00 +1.546934376e+00 +1.547693438e+01 +1.547693438e+01 +4.5861e+00 +1.3716e+00
% function evaluation | noise-free fitness - Fopt (-3.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.964165124e+05 +7.964165124e+05 +7.963847624e+05 +7.963847624e+05 +3.6384e+00 -7.7441e-01
26 +1.902442107e+05 +1.902442107e+05 +1.902124607e+05 +1.902124607e+05 +2.2300e+00 +9.4734e-01
29 +1.771262360e+04 +1.771262360e+04 +1.768087360e+04 +1.768087360e+04 -1.6215e+00 +1.4705e+00
31 +3.614638023e+03 +3.614638023e+03 +3.582888023e+03 +3.582888023e+03 -2.4560e+00 +1.5722e+00
50 +1.341003841e+02 +1.341003841e+02 +1.023503841e+02 +1.023503841e+02 -3.1813e+00 +1.6596e+00
601 +9.004026272e+01 +9.004026272e+01 +5.829026272e+01 +5.829026272e+01 +1.3895e+00 +6.5627e-01
734 +6.065898781e+01 +6.065898781e+01 +2.890898781e+01 +2.890898781e+01 +4.0549e+00 +7.5851e-02
1432 +1.531192968e+01 +1.531192968e+01 -1.643807032e+01 -1.643807032e+01 +1.5391e-01 +9.3610e-01
2657 +7.910645016e+00 +7.910645016e+00 -2.383935498e+01 -2.383935498e+01 -1.2295e+00 +1.2401e+00
3297 +2.659587184e+00 +2.659587184e+00 -2.909041282e+01 -2.909041282e+01 -3.4740e+00 +1.7344e+00
4091 +2.031519810e+00 +2.031519810e+00 -2.971848019e+01 -2.971848019e+01 -3.5285e+00 +1.7466e+00
4420 +9.761567457e-01 +9.761567457e-01 -3.077384325e+01 -3.077384325e+01 -3.6084e+00 +1.7646e+00
4500 +1.234525068e-01 +1.234525068e-01 -3.162654749e+01 -3.162654749e+01 -3.6876e+00 +1.7828e+00
4602 +6.119345110e-02 +6.119345110e-02 -3.168880655e+01 -3.168880655e+01 -3.7198e+00 +1.7901e+00
4966 +1.488002785e-02 +1.488002785e-02 -3.173511997e+01 -3.173511997e+01 -3.5459e+00 +1.7520e+00
% function evaluation | noise-free fitness - Fopt (5.432000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.353429355e+05 +1.353429355e+05 +1.353972555e+05 +1.353972555e+05 +4.5076e+00 -1.2165e+00
16 +9.696424304e+03 +9.696424304e+03 +9.750744304e+03 +9.750744304e+03 +3.9070e+00 -5.9849e-01
40 +9.704493465e+01 +9.704493465e+01 +1.513649346e+02 +1.513649346e+02 +2.6545e+00 -4.5401e-01
2091 +8.563060307e+00 +8.563060307e+00 +6.288306031e+01 +6.288306031e+01 +3.1652e+00 -5.4806e-01
2491 +5.560278284e+00 +5.560278284e+00 +5.988027828e+01 +5.988027828e+01 +2.1840e+00 -3.4909e-01
2669 +1.249845395e+00 +1.249845395e+00 +5.556984539e+01 +5.556984539e+01 +1.4828e+00 -2.0349e-01
3097 +3.663659491e-01 +3.663659491e-01 +5.468636595e+01 +5.468636595e+01 +1.2688e+00 -1.5806e-01
3908 +1.022327385e-01 +1.022327385e-01 +5.442223274e+01 +5.442223274e+01 +1.0367e+00 -1.1085e-01
4563 +4.747012048e-02 +4.747012048e-02 +5.436747012e+01 +5.436747012e+01 +1.0283e+00 -1.0881e-01
4993 +3.951187726e-02 +3.951187726e-02 +5.435951188e+01 +5.435951188e+01 +9.6805e-01 -9.6585e-02
% function evaluation | noise-free fitness - Fopt (4.052000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.590387171e+07 +1.590387171e+07 +1.590391223e+07 +1.590391223e+07 -1.2496e+00 +1.3053e+00
3 +3.733011483e+06 +3.733011483e+06 +3.733052003e+06 +3.733052003e+06 +2.1897e+00 +3.9609e-01
5 +1.589176803e+06 +1.589176803e+06 +1.589217323e+06 +1.589217323e+06 +4.5827e+00 -1.4639e+00
39 +3.489734439e+02 +3.489734439e+02 +3.894934439e+02 +3.894934439e+02 +3.2395e+00 +2.0489e+00
164 +3.950315279e+01 +3.950315279e+01 +8.002315279e+01 +8.002315279e+01 +3.2969e+00 +1.9971e+00
1214 +4.499104557e+00 +4.499104557e+00 +4.501910456e+01 +4.501910456e+01 +3.3531e+00 +1.9345e+00
2335 +3.239867404e+00 +3.239867404e+00 +4.375986740e+01 +4.375986740e+01 +3.4804e+00 +1.7779e+00
2405 +1.996115374e+00 +1.996115374e+00 +4.251611537e+01 +4.251611537e+01 +3.3292e+00 +1.9695e+00
2438 +1.053593360e+00 +1.053593360e+00 +4.157359336e+01 +4.157359336e+01 +3.5867e+00 +1.6488e+00
2724 +9.669319781e-01 +9.669319781e-01 +4.148693198e+01 +4.148693198e+01 +3.5660e+00 +1.6744e+00
3467 +5.843665033e-01 +5.843665033e-01 +4.110436650e+01 +4.110436650e+01 +3.4349e+00 +1.8372e+00
% function evaluation | noise-free fitness - Fopt (-1.184900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.193371248e+06 +9.193371248e+06 +9.193252758e+06 +9.193252758e+06 +3.7679e+00 +1.5304e+00
2 +4.163975340e+06 +4.163975340e+06 +4.163856850e+06 +4.163856850e+06 -1.1243e+00 -3.5837e-01
3 +1.782402497e+06 +1.782402497e+06 +1.782284007e+06 +1.782284007e+06 +9.6540e-01 -8.4435e-01
6 +4.667290455e+04 +4.667290455e+04 +4.655441455e+04 +4.655441455e+04 +4.8543e+00 -1.6554e+00
15 +7.858595123e+01 +7.858595123e+01 -3.990404877e+01 -3.990404877e+01 -2.0106e+00 -2.5716e+00
186 +4.399516578e+01 +4.399516578e+01 -7.449483422e+01 -7.449483422e+01 +1.3348e+00 -2.0186e+00
910 +3.107780587e+01 +3.107780587e+01 -8.741219413e+01 -8.741219413e+01 +1.7710e+00 -1.9437e+00
1006 +1.953651970e+01 +1.953651970e+01 -9.895348030e+01 -9.895348030e+01 -2.0748e+00 -2.5764e+00
2034 +2.633314507e+00 +2.633314507e+00 -1.158566855e+02 -1.158566855e+02 -2.5749e+00 -2.6554e+00
2743 +2.106608629e+00 +2.106608629e+00 -1.163833914e+02 -1.163833914e+02 -2.6753e+00 -2.6699e+00
2964 +9.312590783e-01 +9.312590783e-01 -1.175587409e+02 -1.175587409e+02 -2.9380e+00 -2.7144e+00
4461 +6.168268936e-01 +6.168268936e-01 -1.178731731e+02 -1.178731731e+02 -2.9264e+00 -2.7122e+00
% function evaluation | noise-free fitness - Fopt (2.810000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.311093519e+05 +4.311093519e+05 +4.311374519e+05 +4.311374519e+05 -5.7378e-01 +4.0478e+00
8 +1.260772914e+05 +1.260772914e+05 +1.261053914e+05 +1.261053914e+05 -2.1216e+00 +3.8664e+00
11 +1.657121763e+03 +1.657121763e+03 +1.685221763e+03 +1.685221763e+03 +1.5698e+00 +1.4776e+00
55 +6.805573981e+02 +6.805573981e+02 +7.086573981e+02 +7.086573981e+02 +1.3240e+00 +1.7478e+00
701 +3.979678574e+02 +3.979678574e+02 +4.260678574e+02 +4.260678574e+02 +3.6281e+00 +0.0000e+00
1005 +7.322558102e+01 +7.322558102e+01 +1.013255810e+02 +1.013255810e+02 +3.6096e+00 +0.0000e+00
1011 +3.599035180e+01 +3.599035180e+01 +6.409035180e+01 +6.409035180e+01 +1.7741e+00 +1.3825e+00
1057 +1.562730003e+01 +1.562730003e+01 +4.372730003e+01 +4.372730003e+01 +3.7423e+00 -1.1197e-01
1157 +2.218188062e+00 +2.218188062e+00 +3.031818806e+01 +3.031818806e+01 +1.7748e+00 +1.3748e+00
2872 +1.465392681e+00 +1.465392681e+00 +2.956539268e+01 +2.956539268e+01 +1.2381e+00 +1.7788e+00
3197 +3.129668535e-01 +3.129668535e-01 +2.841296685e+01 +2.841296685e+01 +1.1428e+00 +1.8522e+00
