% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1262 +2.889694019e+05 +2.889694019e+05 +2.888773119e+05 +2.888773119e+05 -1.3077e+00 -1.6477e-01 +7.7855e-01 +2.6502e+00 -5.0000e+00 -1.9301e+00 +3.0999e+00 +4.1527e-01 -3.4319e+00 -2.7762e+00 +2.6948e+00 -3.9074e+00 +4.7251e-01 +1.4596e+00 +4.1007e+00 +1.2979e+00 -4.5189e+00 +4.0058e+00 +1.3905e+00 -1.2432e+00
1755 +1.875628935e+05 +1.875628935e+05 +1.874708035e+05 +1.874708035e+05 -1.9509e+00 +1.9697e+00 -1.9528e+00 +4.0132e+00 -5.0000e+00 -2.2658e+00 +2.7083e+00 +3.7493e+00 -2.3883e+00 -2.3170e+00 +2.9710e+00 -2.6497e+00 -2.7257e+00 +8.7325e-01 +4.5367e+00 +1.3992e+00 -4.3133e+00 +3.1693e+00 +1.6049e+00 -1.2064e+00
1967 +9.898015924e+04 +9.898015924e+04 +9.888806924e+04 +9.888806924e+04 -3.2690e+00 +0.0000e+00 -2.7942e+00 +2.4364e+00 -5.0000e+00 -2.4792e+00 +3.5245e+00 +2.3159e-01 -3.8896e+00 -1.8968e+00 +2.9686e+00 -4.5637e+00 -2.6601e+00 +4.8791e-01 +3.7082e+00 +1.5003e+00 -4.2536e+00 +3.6895e+00 +1.7450e+00 -1.4459e+00
2618 +4.204913990e+04 +4.204913990e+04 +4.195704990e+04 +4.195704990e+04 -2.0054e+00 -8.9515e-01 -2.1197e+00 +1.9228e+00 -4.1593e+00 -2.8039e+00 +2.9529e+00 -6.0996e-01 -4.8707e+00 -1.4384e+00 +2.4540e+00 -3.2679e+00 -1.8014e+00 +4.2783e-01 +3.5384e+00 +1.0032e+00 -4.0301e+00 +3.7024e+00 +1.8470e+00 -1.3971e+00
2934 +3.967726632e+04 +3.967726632e+04 +3.958517632e+04 +3.958517632e+04 -1.6338e+00 +9.9754e-01 -3.4219e+00 +2.2677e+00 -4.0927e+00 -2.9033e+00 +2.6981e+00 -2.3330e-01 -4.0803e+00 -1.1026e+00 +2.5768e+00 -3.6582e+00 -2.7702e+00 +6.1651e-01 +3.4491e+00 +6.4600e-01 -3.9617e+00 +3.6960e+00 +1.7622e+00 -1.2995e+00
3421 +2.404455564e+04 +2.404455564e+04 +2.395246564e+04 +2.395246564e+04 -2.4687e+00 +1.0869e+00 -3.1470e+00 +1.9275e+00 -3.6505e+00 -2.6976e+00 +1.9986e+00 -3.8069e-01 -3.9573e+00 -1.1167e+00 +2.5614e+00 -2.5299e+00 -1.7444e+00 +6.5955e-01 +3.5577e+00 +6.4987e-01 -3.9514e+00 +3.7444e+00 +1.7663e+00 -1.3885e+00
3979 +1.549981416e+04 +1.549981416e+04 +1.540772416e+04 +1.540772416e+04 -2.8087e+00 +1.5171e-02 -2.8836e+00 +1.9555e+00 -3.8238e+00 -1.9833e+00 +1.9218e+00 -1.9850e+00 -1.5142e+00 -1.1807e+00 +2.9812e+00 -1.6468e+00 -2.0762e+00 +4.6355e-01 +3.7067e+00 +6.1355e-01 -3.9543e+00 +3.7745e+00 +1.8267e+00 -1.3649e+00
4212 +9.851219280e+03 +9.851219280e+03 +9.759129280e+03 +9.759129280e+03 -3.3745e+00 +5.0685e-01 -3.2406e+00 +1.9660e+00 -3.7072e+00 -2.0234e+00 +1.9219e+00 -1.1344e+00 -6.6512e-01 -1.0233e+00 +3.0406e+00 -1.5855e+00 -2.0905e+00 +7.1078e-01 +3.7166e+00 +6.4744e-01 -3.9226e+00 +3.7212e+00 +1.8448e+00 -1.3435e+00
4801 +6.239917063e+03 +6.239917063e+03 +6.147827063e+03 +6.147827063e+03 -3.3221e+00 +8.5668e-01 -3.2173e+00 +1.9792e+00 -3.8553e+00 -2.1959e+00 +1.9592e+00 +2.2164e-01 -5.0734e-01 -8.6500e-01 +3.3641e+00 -1.7295e+00 -2.0413e+00 +6.8512e-01 +3.7042e+00 +6.7032e-01 -3.8841e+00 +3.6820e+00 +1.8245e+00 -1.3640e+00
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
